Name,Type,RAB2000,DEB2000,Source,Const,l_size,size,mag,n_mag,Desc
 2243, OC,06 29.8,-31 17,s,CMa, ,  5.0, 9.4, ,"F Cl, st 9...11"
 2239, OC,06 31.0,+04 57,s,Mon, , 16.0,    , ,"*8 in L, P, B Cl"
 2244, OC,06 32.4,+04 52,s,Mon, , 24.0, 4.8, ,"Cl, beautiful, st sc (12 Mon)"
 2250, OC,06 32.8,-05 02,s,Mon, ,  8.0, 9.0,p,"Cl, pRi, lC, iF, st 8, 12...14"
I2168, OC,06 33.8,+44 41,x,Aur, ,     ,    , ,"Cl, S, F neby"
 2251, OC,06 34.7,+08 22,s,Mon, , 10.0, 7.3, ,"Cl, vL, E, Ri, lC"
 2252, OC,06 35.0,+05 23,s,Mon, , 20.0, 8.0,p,"Cl, vL, pRi, lC, st S"
 2254, OC,06 36.0,+07 40,s,Mon, ,  4.0, 9.7, ,"Cl, S, pC, iF, st 11...13"
 2262, OC,06 38.4,+01 11,s,Mon, ,  4.0,11.0,p,"Cl, vC, iR, bM, st eS"
 2259, OC,06 38.6,+10 53,s,Mon, ,  5.0,11.0,p,"Cl, cRi, eC, iF, st eS"
 2253, OC,06 42.4,+66 20,A,Cam, ,     ,    , ,"vF, st eS"
 2266, OC,06 43.2,+26 58,s,Gem, ,  7.0,10.0,p,"Cl, pS, eC, Ri, st 11...15"
 2269, OC,06 43.9,+04 34,s,Mon, ,  4.0,10.0, ,"Cl, vmC, not Ri, st vS"
 2287, OC,06 47.0,-20 44,s,CMa, , 38.0, 4.5, ,"Cl, vL, B, lC, st 8...; = M41"
 2286, OC,06 47.6,-03 10,s,Mon, , 15.0, 7.5, ,"Cl, L, C, ab 100 st 9...15"
 2281, OC,06 49.3,+41 04,s,Aur, , 15.0, 5.4, ,"Cl, pRi, vlC, st pL"
 2301, OC,06 51.8,+00 28,s,Mon, , 12.0, 6.0, ,"Cl, Ri, L, iF, st L & S"
 2302, OC,06 51.9,-07 04,s,Mon, ,  3.0, 8.9, ,"Cl, L, P, lC"
